model,seed,best_config_path,hpo_trial_id,hpo_best_val_f1,hpo_best_val_acc,main_best_val_f1,main_test_macro_f1,config_json
Transformer,47,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.7260721090914452,0.7273809523809524,0.7062713558983003,0.7595947402415528,"{""lr"": 0.0001, ""batch_size"": 16, ""weight_decay"": 0.0003, ""d_model"": 96, ""nhead"": 2, ""num_layers"": 2, ""dim_feedforward"": 192, ""dropout"": 0.2, ""pooling"": ""mean"", ""norm_first"": true}"
LeNet,48,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.8700780555716586,0.8699404761904762,0.8330704997380313,0.8585807878087692,"{""lr"": 0.0005, ""batch_size"": 16, ""weight_decay"": 0.0001}"
ResNet18,48,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,2,0.927855386750874,0.9282738095238096,0.8951131689549765,0.9069691414686432,"{""lr"": 0.0007, ""batch_size"": 16, ""weight_decay"": 0.0001}"
MobileNet_V2,48,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,3,0.927849598657493,0.9279761904761904,0.8908939104720311,0.9161021311671552,"{""lr"": 0.0006, ""batch_size"": 16, ""weight_decay"": 0.0003}"
EfficientNet_B0,48,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,3,0.927666501545176,0.9276785714285716,0.8921144794849672,0.915070674986175,"{""lr"": 0.0007, ""batch_size"": 32, ""weight_decay"": 0.001}"
LSTM,48,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,2,0.853851172519032,0.8541666666666666,0.7766605251189382,0.7912038129157425,"{""lr"": 0.0006, ""batch_size"": 32, ""weight_decay"": 0.0003, ""input_proj_dim"": 256, ""hidden_size"": 128, ""num_layers"": 2, ""dropout"": 0.3, ""use_last_only"": false}"
GRU,48,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.8597778948514966,0.8598214285714286,0.7759912256028713,0.7943347032654535,"{""lr"": 0.0006, ""batch_size"": 32, ""weight_decay"": 0.0003, ""input_proj_dim"": 256, ""hidden_size"": 128, ""num_layers"": 2, ""dropout"": 0.3, ""use_last_only"": false}"
CNN_LSTM,48,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,3,0.9330062524222136,0.9330357142857144,0.8505781812595704,0.8642699306496523,"{""lr"": 0.0003, ""batch_size"": 32, ""weight_decay"": 0.0001, ""lstm_hidden"": 128, ""dropout"": 0.5}"
LeNet_LSTM,48,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.9125238886919388,0.9125,0.8656828345314737,0.8767105027448033,"{""lr"": 0.0006, ""batch_size"": 64, ""weight_decay"": 0.0001, ""feature_dim"": 128, ""encoder_hidden_dim"": 96, ""hidden_size"": 128, ""num_layers"": 1, ""dropout"": 0.3, ""use_last_only"": false, ""bidirectional"": false}"
TCN,48,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.8491074551526211,0.8491071428571428,0.770943577567767,0.7910270670615319,"{""lr"": 0.0001, ""batch_size"": 16, ""weight_decay"": 0.003, ""num_channels"": 128, ""dropout"": 0.3}"
Transformer,48,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.7260721090914452,0.7273809523809524,0.6796822633005605,0.6729611321108844,"{""lr"": 0.0001, ""batch_size"": 16, ""weight_decay"": 0.0003, ""d_model"": 96, ""nhead"": 2, ""num_layers"": 2, ""dim_feedforward"": 192, ""dropout"": 0.2, ""pooling"": ""mean"", ""norm_first"": true}"
LeNet,49,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.8700780555716586,0.8699404761904762,0.8721679137786328,0.893152645665417,"{""lr"": 0.0005, ""batch_size"": 16, ""weight_decay"": 0.0001}"
ResNet18,49,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,2,0.927855386750874,0.9282738095238096,0.937710579322054,0.9374365853455924,"{""lr"": 0.0007, ""batch_size"": 16, ""weight_decay"": 0.0001}"
MobileNet_V2,49,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,3,0.927849598657493,0.9279761904761904,0.9325590486323888,0.9304258511560368,"{""lr"": 0.0006, ""batch_size"": 16, ""weight_decay"": 0.0003}"
EfficientNet_B0,49,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,3,0.927666501545176,0.9276785714285716,0.9452018182675314,0.9313440332628756,"{""lr"": 0.0007, ""batch_size"": 32, ""weight_decay"": 0.001}"
LSTM,49,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,2,0.853851172519032,0.8541666666666666,0.8733079758339813,0.8275703117666953,"{""lr"": 0.0006, ""batch_size"": 32, ""weight_decay"": 0.0003, ""input_proj_dim"": 256, ""hidden_size"": 128, ""num_layers"": 2, ""dropout"": 0.3, ""use_last_only"": false}"
GRU,49,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.8597778948514966,0.8598214285714286,0.8801856379412522,0.8430099684990312,"{""lr"": 0.0006, ""batch_size"": 32, ""weight_decay"": 0.0003, ""input_proj_dim"": 256, ""hidden_size"": 128, ""num_layers"": 2, ""dropout"": 0.3, ""use_last_only"": false}"
CNN_LSTM,49,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,3,0.9330062524222136,0.9330357142857144,0.9412053762547076,0.8919874123687261,"{""lr"": 0.0003, ""batch_size"": 32, ""weight_decay"": 0.0001, ""lstm_hidden"": 128, ""dropout"": 0.5}"
LeNet_LSTM,49,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.9125238886919388,0.9125,0.924255269541057,0.8940450533180825,"{""lr"": 0.0006, ""batch_size"": 64, ""weight_decay"": 0.0001, ""feature_dim"": 128, ""encoder_hidden_dim"": 96, ""hidden_size"": 128, ""num_layers"": 1, ""dropout"": 0.3, ""use_last_only"": false, ""bidirectional"": false}"
