model,category,accuracy,macro_f1,macro_precision,macro_recall,training_seconds,inference_ms,params,params_m,best_epoch,best_val_loss,best_val_acc,best_val_f1,latency_ms_bs1,throughput_sps_bs1,latency_ms_bs32,throughput_sps_bs32
ResNet18,cnn,0.9114583333333334,0.9118958362224336,0.9139518301888936,0.9114583333333304,1011.5376236848532,0.2977546770125627,11424140.0,11.42414,14.0,0.3162257003755541,0.9345238095238096,0.9334122369626956,2.9178706370294094,342.71567330965297,0.1584850117797032,6309.744932789081
MobileNet_V2,cnn,0.9122395833333332,0.911924484535588,0.9122457452371856,0.9122395833333302,1534.4632567893714,0.377186801051721,2261420.0,2.26142,21.0,0.4242874598493928,0.931845238095238,0.9301353384782862,7.706174664199352,129.76606988233854,0.1514951465651393,6600.871530693057
EfficientNet_B0,cnn,0.91328125,0.9130199821428489,0.9159223120878428,0.9132812499999972,1218.624206872657,0.2514218998840078,4045096.0,4.045096,14.0,0.2567269209745859,0.9416666666666668,0.94158433934412,12.538332976400852,79.75541899247371,0.1912339794216677,5229.196207829868
LSTM,temporal,0.8268229166666666,0.8270206429372182,0.8300102312760577,0.826822916666664,590.4646087344736,0.0191089638974517,595724.0,0.595724,25.0,0.7214070241745156,0.8669642857142857,0.8671538139911629,0.5740354023873806,1742.0528347921693,0.0195403990801423,51176.02746487579
GRU,temporal,0.8348958333333333,0.8341190055565487,0.8371051380765994,0.8348958333333307,588.0095066912472,0.0181832030648365,513292.0,0.513292,18.0,0.709970230813044,0.8794642857142857,0.8798676636490496,0.613219253718853,1630.738098870061,0.011818001512438,84616.67558152982
CNN_LSTM,temporal,0.88046875,0.8790728832203859,0.8815861118042516,0.8804687499999972,1403.7907375041395,0.5586997198406607,11500492.0,11.500492,12.0,0.2813835883869268,0.9339285714285714,0.9327135940736472,3.840152714401484,260.4063104703526,0.5635658977553248,1774.4153859965377
LeNet_LSTM,temporal,0.8989583333333333,0.8988833256542407,0.90132794089811,0.8989583333333305,624.9209140259773,0.1693934493232518,331708.0,0.331708,12.0,0.2788953499214369,0.918154761904762,0.916535862930005,1.1908551305532455,839.7327049642232,0.1705669035436585,5862.802098321721
TCN,temporal,0.8403645833333333,0.8401117605311281,0.8432978938526907,0.8403645833333306,887.1973651666194,0.1374326471704989,2083724.0,2.083724,24.0,1.2106283240050997,0.8529761904761904,0.8518096929456274,1.091293804347515,916.3435144744548,0.0368363643065094,27147.08736397436
Transformer,attention,0.69453125,0.6888603184315433,0.6928466919670099,0.6945312499999977,877.1985139735043,0.0462368829175829,259052.0,0.259052,17.0,1.3999559642418673,0.7758928571428572,0.7734415262088362,0.7467006333172321,1339.2247915439425,0.0209372158860787,47761.84213990473
LeNet,cnn,0.8565104166666667,0.8563190119589769,0.8573611850642916,0.8565104166666638,686.7203603684902,0.013772101374343,73726.0,0.073726,24.0,0.777724375990649,0.844047619047619,0.8442233353117246,0.7245105504989624,1380.242150112667,0.0296289089601486,33750.82090754723
ResNet18,cnn,0.95078125,0.9508302296544008,0.9510052924035954,0.9507812499999968,1045.5011669192463,0.1896462927106768,11424140.0,11.42414,16.0,0.6852387382099637,0.9211309523809524,0.921315229760565,2.4368448927998543,410.3667012023211,0.0575842463877052,17365.86067771323
MobileNet_V2,cnn,0.9401041666666666,0.9402142118080502,0.9408013444676744,0.9401041666666636,1495.3104878980666,0.3763379761949181,2261420.0,2.26142,22.0,0.608772290636137,0.9184523809523808,0.91907767269283,3.2615995034575462,306.59803539334706,0.2751393028302118,3634.522548082122
