model,display_name,seed,selected_epoch,train_loss_at_selected,train_acc_at_selected,train_f1_at_selected,val_loss_at_selected,val_acc_at_selected,val_f1_at_selected,test_accuracy,test_macro_f1,test_macro_precision,test_macro_recall,params_m,train_time_sec,inference_ms
CNN_LSTM,CNN-LSTM baseline,50,11,0.0781406656049546,0.9782142857142856,0.987283382835202,0.3148749114039154,0.9217261904761904,0.921310964016668,0.89609375,0.8968722241450976,0.9002721457768589,0.8960937499999969,11.500492,1389.9812697656453,0.5523892381461337
LeNet_LSTM,LeNet-LSTM baseline,50,15,0.0312776469869872,0.991904761904762,0.99607425086999,0.4381371967949062,0.9050595238095238,0.9048752344907972,0.8989583333333333,0.8991619799385813,0.9028847951934916,0.8989583333333303,0.331708,627.239008853212,0.182419890188612
TCN,TCN baseline,50,14,0.0064838024335248,0.9983928571428572,0.9998214285557432,1.30245332209046,0.8580357142857142,0.8570105843540029,0.8114583333333333,0.8119810273086384,0.8186732014975079,0.8114583333333307,2.083724,871.1482797432691,0.0951930007431656
Transformer,Transformer baseline,50,20,0.0116880198816458,0.9967857142857144,0.9977963543877004,1.9353859404069007,0.7440476190476191,0.7424602850684964,0.7049479166666667,0.7031261184243691,0.7060140508120228,0.7049479166666645,0.259052,866.8957238327712,0.0358962570317089
LeNet,LeNet-style CNN,51,21,0.0061046390519255,0.9998214285714284,0.9998214285557432,0.5629642140731794,0.8651785714285715,0.8626241638594413,0.9005208333333333,0.8999865703690451,0.9020450413876429,0.9005208333333306,0.073726,679.2569178976119,0.0136871880386024
ResNet18,ResNet18,51,21,0.0003555861895992,1.0,0.9999999999994992,0.5096208824863917,0.9229166666666668,0.9212905783086192,0.940625,0.9403582553514754,0.9407997446369756,0.940624999999997,11.42414,1039.1906819865108,0.2174642053432762
MobileNet_V2,MobileNet_V2,51,7,0.1128922971018723,0.9625,0.9863703614295392,0.2455926655055615,0.9125,0.9122213115601032,0.9158854166666668,0.9134616024865628,0.9267811035010384,0.9158854166666636,2.26142,1602.8170906174928,0.3160910273436457
EfficientNet_B0,EfficientNet_B0,51,20,0.0036954905376547,0.9989285714285714,0.9999999999994992,0.4111743951492239,0.9261904761904762,0.925946525329478,0.9307291666666668,0.93060919742305,0.9319220037552122,0.9307291666666636,4.045096,1195.7022791262716,0.264455922297202
LSTM,LSTM baseline,51,25,0.0029792552831627,0.9996428571428572,0.999940476182383,0.90497432245805,0.8494047619047619,0.8453734242702815,0.8408854166666667,0.8408440474398264,0.8430597127310254,0.840885416666664,0.595724,583.0694019570947,0.0199337722733616
GRU,GRU baseline,51,16,0.0025415091713269,0.9997619047619049,0.999940476182383,0.795031195586004,0.8627976190476191,0.8614926258014998,0.8421875,0.8425126042468909,0.8450794820162341,0.8421874999999974,0.513292,588.0545013062656,0.0190761493286117
CNN_LSTM,CNN-LSTM baseline,51,17,0.0093824242055416,0.99875,0.99970233828294,0.5079618298918441,0.9011904761904762,0.9001414472608813,0.91875,0.9189416259827228,0.9201147021831586,0.9187499999999972,11.500492,1629.1892127804458,0.5790978990262374
LeNet_LSTM,LeNet-LSTM baseline,51,9,0.1541570630703589,0.9495833333333332,0.9574282459969083,0.3236299182377046,0.9077380952380952,0.9075585539800592,0.909375,0.9084694536326088,0.914120231974671,0.9093749999999972,0.331708,621.17167734541,0.1770824601408094
TCN,TCN baseline,51,18,0.0043872499962647,0.9989880952380952,0.9998809523652672,1.3232623326897115,0.8419642857142857,0.8400931139329552,0.8408854166666667,0.841150879980927,0.8438934064644893,0.8408854166666639,2.083724,945.861644152552,0.1124164613429457
Transformer,Transformer baseline,51,19,0.0159555037816365,0.9954761904761904,0.9989283499080478,1.7841565309852436,0.7467261904761905,0.7438386747057114,0.7403645833333333,0.7386868092974511,0.7397851619717795,0.740364583333331,0.259052,911.9269377868624,0.034700974356383
