model,seed,class_id,class_name,precision,recall,f1,support
LeNet,47,0,class_0,0.9761904761904728,0.8968749999999971,0.9348534201949376,320
LeNet,47,1,class_1,0.8753623188405771,0.943749999999997,0.9082706766912272,320
LeNet,47,2,class_2,0.9235294117647032,0.9812499999999968,0.9515151515146488,320
LeNet,47,3,class_3,0.7704402515723245,0.7656249999999976,0.7680250783694035,320
LeNet,47,4,class_4,0.9069767441860438,0.9749999999999968,0.939759036144076,320
LeNet,47,5,class_5,0.9055374592833846,0.8687499999999972,0.8867623604460683,320
LeNet,47,6,class_6,0.7578616352201234,0.7531249999999976,0.7554858934164256,320
LeNet,47,7,class_7,0.7416413373860159,0.7624999999999975,0.7519260400611308,320
LeNet,47,8,class_8,0.8553846153846127,0.8687499999999972,0.8620155038754663,320
LeNet,47,9,class_9,0.9036544850498308,0.8499999999999973,0.87600644122333,320
LeNet,47,10,class_10,0.7617554858934145,0.7593749999999976,0.7605633802811876,320
LeNet,47,11,class_11,0.9099999999999968,0.8531249999999972,0.8806451612898201,320
ResNet18,47,0,class_0,0.9999999999999968,0.9968749999999968,0.9984350547725798,320
ResNet18,47,1,class_1,0.9999999999999968,0.9937499999999968,0.9968652037612522,320
ResNet18,47,2,class_2,0.9936908517350126,0.9843749999999968,0.9890109890104858,320
ResNet18,47,3,class_3,0.8121019108280229,0.7968749999999974,0.8044164037849864,320
ResNet18,47,4,class_4,0.9968749999999968,0.9968749999999968,0.9968749999994968,320
ResNet18,47,5,class_5,0.9968652037617522,0.9937499999999968,0.9953051643187456,320
ResNet18,47,6,class_6,0.7914110429447828,0.8062499999999975,0.7987616099066183,320
ResNet18,47,7,class_7,0.9522292993630542,0.934374999999997,0.9432176656146388,320
ResNet18,47,8,class_8,0.9659442724458174,0.9749999999999968,0.9704510108859664,320
ResNet18,47,9,class_9,0.9906249999999968,0.9906249999999968,0.9906249999994968,320
ResNet18,47,10,class_10,0.9281437125748474,0.9687499999999968,0.9480122324153992,320
ResNet18,47,11,class_11,0.9841772151898702,0.9718749999999968,0.9779874213831448,320
MobileNet_V2,47,0,class_0,0.9999999999999968,0.9906249999999968,0.9952904238613492,320
MobileNet_V2,47,1,class_1,0.9968553459119464,0.9906249999999968,0.9937304075230078,320
MobileNet_V2,47,2,class_2,0.984472049689438,0.9906249999999968,0.9875389408094656,320
MobileNet_V2,47,3,class_3,0.7973856209150301,0.7624999999999975,0.7795527156544498,320
MobileNet_V2,47,4,class_4,0.9999999999999968,0.9906249999999968,0.9952904238613492,320
MobileNet_V2,47,5,class_5,0.9937888198757732,0.9999999999999968,0.996884735201989,320
MobileNet_V2,47,6,class_6,0.7671641791044753,0.8031249999999974,0.7847328244269786,320
MobileNet_V2,47,7,class_7,0.932258064516126,0.9031249999999972,0.9174603174598144,320
MobileNet_V2,47,8,class_8,0.9966996699669932,0.943749999999997,0.969502407704152,320
MobileNet_V2,47,9,class_9,0.9843749999999968,0.9843749999999968,0.9843749999994968,320
MobileNet_V2,47,10,class_10,0.8849557522123868,0.937499999999997,0.910470409711182,320
MobileNet_V2,47,11,class_11,0.9516616314199366,0.9843749999999968,0.967741935483368,320
EfficientNet_B0,47,0,class_0,0.9999999999999968,0.9937499999999968,0.9968652037612522,320
EfficientNet_B0,47,1,class_1,0.9968652037617522,0.9937499999999968,0.9953051643187456,320
EfficientNet_B0,47,2,class_2,0.996805111821083,0.9749999999999968,0.9857819905208238,320
EfficientNet_B0,47,3,class_3,0.795597484276727,0.7906249999999975,0.7931034482753596,320
EfficientNet_B0,47,4,class_4,0.9999999999999968,0.9968749999999968,0.9984350547725798,320
EfficientNet_B0,47,5,class_5,0.9968253968253936,0.9812499999999968,0.9889763779522528,320
EfficientNet_B0,47,6,class_6,0.7912772585669756,0.7937499999999975,0.7925117004675161,320
EfficientNet_B0,47,7,class_7,0.9335548172757444,0.8781249999999972,0.9049919484697068,320
EfficientNet_B0,47,8,class_8,0.9721362229102136,0.9812499999999968,0.9766718506993414,320
EfficientNet_B0,47,9,class_9,0.984472049689438,0.9906249999999968,0.9875389408094656,320
EfficientNet_B0,47,10,class_10,0.8872832369942171,0.959374999999997,0.9219219219214198,320
EfficientNet_B0,47,11,class_11,0.9815384615384584,0.9968749999999968,0.9891472868212025,320
LSTM,47,0,class_0,0.9099999999999968,0.8531249999999972,0.8806451612898201,320
